ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD
2021-0056,1,2021-07-09,23:25:00,2021,7,9,23,VIERNES,NOCHE,"CORRALES Y MORENO, PERITO AV.",AVENIDA,4,BICICLETA-AUTO,BICICLETA,AUTO,-58.42473018,-34.6500828
2021-0057,1,2021-07-10,23:30:00,2021,7,10,23,SABADO,NOCHE,"AU ILLIA KM 3.2, ALTURA CABINAS DE PEAJE",AUTOPISTA,2,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.39257023,-34.57563957
2021-0058,1,2021-07-21,00:40:00,2021,7,21,0,MIERCOLES,NOCHE,AV. GRAL. PAZ Y VEDIA,AUTOPISTA,12,PEATON-AUTO,PEATON,AUTO,-58.48941042,-34.54596153
2021-0059,1,2021-07-22,01:20:00,2021,7,22,1,JUEVES,NOCHE,"GARAY, JUAN DE AV. 2269",AVENIDA,3,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.3964074,-34.62783085
2021-0060,1,2021-07-22,12:30:00,2021,7,22,12,JUEVES,DIA,"SALGUERO, JERONIMO Y RIVADAVIA AV.",AVENIDA,5,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.41971993,-34.6111224
2021-0061,1,2021-07-24,09:15:00,2021,7,24,9,SABADO,DIA,"MORENO, PERITO AV. Y ALCORTA, AMANCIO AV.",AVENIDA,4,PEATON-CARGAS,PEATON,CARGAS,-58.40544588,-34.65012801
2021-0062,1,2021-07-27,07:16:00,2021,7,27,7,MARTES,DIA,LA PLATA AV. 2723,AVENIDA,4,AUTO-CARGAS,AUTO,CARGAS,-58.42003882,-34.64645957
2021-0063,1,2021-08-02,04:40:00,2021,8,2,4,LUNES,NOCHE,"ALBERDI, JUAN BAUTISTA AV. 2906",AVENIDA,7,AUTO-AUTO,AUTO,AUTO,-58.46851293,-34.63348678
2021-0064,1,2021-08-02,20:00:00,2021,8,2,20,LUNES,NOCHE,"PAZ, GRAL. AV. Y TONELERO",AUTOPISTA,9,PEATON-CARGAS,PEATON,CARGAS,-58.52931141,-34.65422917
2021-0065,1,2021-08-06,08:30:00,2021,8,6,8,VIERNES,DIA,Av. SAN JUAN Y AV. LA PLATA,AVENIDA,6,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.42675754,-34.6269973
2021-0066,1,2021-08-06,20:00:00,2021,8,6,20,VIERNES,NOCHE,Av. LOPE DE VEGA Y AV. GRAL. PAZ,AVENIDA,11,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.52933723,-34.61098186
2021-0067,1,2021-08-08,09:29:00,2021,8,8,9,DOMINGO,DIA,"AU FRONDIZI KM 2,9 (ALTURA BRASIL)",AUTOPISTA,1,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.37910943,-34.62764718
2021-0068,1,2021-08-15,06:10:00,2021,8,15,6,DOMINGO,DIA,"BEIRO, FRANCISCO AV. 5071",AVENIDA,11,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.52161176,-34.61164474
2021-0069,1,2021-08-20,17:15:00,2021,8,20,17,VIERNES,DIA,AV. SANTA FE 3428,AVENIDA,14,PEATON-AUTO,PEATON,AUTO,-58.41354692,-34.5869768
2021-0070,1,2021-08-28,08:30:00,2021,8,28,8,SABADO,DIA,"CHILAVERT, MARTINIANO, CORONEL Y VARELA AV.",AVENIDA,8,MOTO-CARGAS,MOTO,CARGAS,-58.43960781,-34.65470804
2021-0071,1,2021-08-31,16:00:00,2021,8,31,16,MARTES,DIA,SAN LUIS 2730,CALLE,3,PEATON-MOTO,PEATON,MOTO,-58.4045461,-34.60003693
2021-0072,1,2021-09-01,19:10:00,2021,9,1,19,MIERCOLES,NOCHE,CALLAO AV. Y PARAGUAY,AVENIDA,2,PEATON-AUTO,PEATON,AUTO,-58.39303911,-34.59871111
2021-0073,1,2021-09-18,12:20:00,2021,9,18,12,SABADO,DIA,"DEL LIBERTADOR AV. Y AGOTE, LUIS DR.",AVENIDA,2,BICICLETA-AUTO,BICICLETA,AUTO,-58.39391034,-34.58405348
2021-0074,1,2021-09-20,15:00:00,2021,9,20,15,LUNES,DIA,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV.",AUTOPISTA,12,MULTIPLE,MOTO,MULTIPLE,-58.5007381,-34.5497951
2021-0075,1,2021-09-21,14:30:00,2021,9,21,14,MARTES,DIA,SALTA Y BRASIL,CALLE,1,PEATON-CARGAS,PEATON,CARGAS,-58.38281301,-34.62786038
2021-0076,1,2021-10-16,06:15:00,2021,10,16,6,SABADO,DIA,"MORENO, PERITO AV. 2152",AVENIDA,7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.43980799,-34.65094083
2021-0077,1,2021-10-18,07:20:00,2021,10,18,7,LUNES,DIA,DIRECTORIO AV. 1169,AVENIDA,6,MOTO-CARGAS,MOTO,CARGAS,-58.44402387,-34.62933109
2021-0078,1,2021-10-23,06:35:00,2021,10,23,6,SABADO,DIA,INDEPENDENCIA AV. Y LA PLATA AV.,AVENIDA,6,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.42779702,-34.62207347
2021-0079,1,2021-10-25,03:30:00,2021,10,25,3,LUNES,NOCHE,TUCUMAN 3112,CALLE,3,PEATON-AUTO,PEATON,AUTO,-58.40944147,-34.60097942
2021-0080,1,2021-10-28,16:16:00,2021,10,28,16,JUEVES,DIA,ARENALES Y 9 DE JULIO AV.,AVENIDA,1,MOTO-AUTO,MOTO,AUTO,-58.38277479,-34.5943016
2021-0081,1,2021-11-02,13:35:00,2021,11,2,13,MARTES,DIA,AU FRONDIZI SUBIDA BRANDSEN,AUTOPISTA,4,MOTO-CARGAS,MOTO,CARGAS,-58.37627355,-34.63800916
2021-0082,1,2021-11-06,04:39:00,2021,11,6,4,SABADO,NOCHE,AU 25 DE MAYO KM7 (ALTURA PASCO),AUTOPISTA,3,MOTO-AUTO,MOTO,AUTO,-58.39591856,-34.62453459
2021-0083,1,2021-11-09,00:35:00,2021,11,9,0,MARTES,NOCHE,CABILDO AV. Y OLAZABAL,AVENIDA,13,MOTO-AUTO,MOTO,AUTO,-58.45829717,-34.56015762
2021-0084,1,2021-11-11,03:00:00,2021,11,11,3,JUEVES,NOCHE,TAPALQUE Y BRUIX AV.,AVENIDA,9,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.49142611,-34.64584795
2021-0085,1,2021-11-20,18:30:00,2021,11,20,18,SABADO,NOCHE,"PAZ, GRAL. AV. Y EZEIZA",AUTOPISTA,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.51271409,-34.57786555
2021-0086,1,2021-11-25,10:10:00,2021,11,25,10,JUEVES,DIA,RIVADAVIA AV. Y PUAN,AVENIDA,6,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.44864864,-34.62352826
2021-0087,1,2021-11-27,11:22:00,2021,11,27,11,SABADO,DIA,ESMERALDA 1359,CALLE,1,PEATON-BICICLETA,PEATON,BICICLETA,-58.37795815,-34.59167894
2021-0088,1,2021-12-01,15:40:00,2021,12,1,15,MIERCOLES,DIA,AV. MOROE Y 3 DE FEBRERO,CALLE,13,MOTO-AUTO,MOTO,AUTO,-58.45531707,-34.55555257
2021-0089,1,2021-12-02,01:10:00,2021,12,2,1,JUEVES,NOCHE,AV. GAONA 3655,AVENIDA,11,MOTO-AUTO,MOTO,AUTO,-58.47633683,-34.62140594
