,ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
298,2018-0013,1,2018-01-28,08:15:00,2018,1,28,8,DOMINGO,DIA,Congreso Av. y Galvan,AVENIDA,12,MOTO-AUTO,MOTO,AUTO,-58.48661286,-34.56786129,CONDUCTOR,MASCULINO,44,2018-01-28
299,2018-0014,1,2018-01-31,20:00:00,2018,1,31,20,MIERCOLES,NOCHE,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,7,PEATON-MOTO,PEATON,MOTO,-58.44074927,-34.65080597,PEATON,MASCULINO,,2018-02-04
300,2018-0015,2,2018-02-06,01:00:00,2018,2,6,1,MARTES,NOCHE,Australia Av. 2800,AVENIDA,4,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.38636298,-34.64684275,CONDUCTOR,MASCULINO,28,2018-02-06
301,2018-0015,2,2018-02-06,01:00:00,2018,2,6,1,MARTES,NOCHE,Australia Av. 2800,AVENIDA,4,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.38636298,-34.64684275,PASAJERO_ACOMPAÑANTE,MASCULINO,19,2018-02-06
302,2018-0016,1,2018-02-15,10:15:00,2018,2,15,10,JUEVES,DIA,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,1,MOTO-CARGAS,MOTO,CARGAS,-58.37533517,-34.59276462,CONDUCTOR,MASCULINO,31,2018-02-15
303,2018-0017,1,2018-02-17,04:15:00,2018,2,17,4,SABADO,NOCHE,San Pedrito Av. y Rivadavia Av.,AVENIDA,7,PEATON-AUTO,PEATON,AUTO,-58.46963952,-34.63070603,PEATON,MASCULINO,35,2018-02-20
304,2018-0018,1,2018-02-17,07:15:00,2018,2,17,7,SABADO,DIA,"Isabel La Catolica y Salvadores, Cnel.",CALLE,4,MOTO-CARGAS,MOTO,CARGAS,-58.37207554,-34.64543658,CONDUCTOR,MASCULINO,26,2018-02-17
305,2018-0019,1,2018-02-17,12:30:00,2018,2,17,12,SABADO,DIA,Las Heras General Av. y Callao Av.,AVENIDA,2,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.39189441,-34.59176378,PEATON,FEMENINO,80,2018-02-17
306,2018-0020,1,2018-02-19,22:00:00,2018,2,19,22,LUNES,NOCHE,Fernandez de la Cruz Subida AU Héctor J. Cámpora,AUTOPISTA,8,MOTO-CARGAS,MOTO,CARGAS,-58.45012957,-34.66518343,CONDUCTOR,MASCULINO,26,2018-02-19
307,2018-0021,1,2018-02-22,10:45:00,2018,2,22,10,JUEVES,DIA,AMANCIO ALCORTA Y ZAVALETA,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.40184094,-34.64546845,PEATON,FEMENINO,62,2018-02-22
308,2018-0022,1,2018-02-24,00:00:00,2018,2,24,0,SABADO,NOCHE,"Montes De Oca, Manuel y Olavarria",AVENIDA,4,MOTO-CARGAS,MOTO,CARGAS,-58.37441153,-34.63966783,CONDUCTOR,MASCULINO,28,2018-02-24
309,2018-0023,1,2018-02-24,06:00:00,2018,2,24,6,SABADO,DIA,Barco Centenera Del y Rosario,CALLE,6,MOTO-AUTO,MOTO,AUTO,-58.44110156,-34.62082399,CONDUCTOR,MASCULINO,28,2018-02-24
310,2018-0024,1,2018-02-28,23:00:00,2018,2,28,23,MIERCOLES,NOCHE,Alvarez Thomas Av. y Donado,AVENIDA,15,PEATON-CARGAS,PEATON,CARGAS,-58.47087351,-34.57827342,PEATON,MASCULINO,70,2018-02-28
311,2018-0025,1,2018-03-04,22:30:00,2018,3,4,22,DOMINGO,NOCHE,Av. Avellaneda y Av. Boyacá,AVENIDA,7,PEATON-AUTO,PEATON,AUTO,-58.4596221,-34.6224514,PEATON,MASCULINO,70,2018-03-05
312,2018-0026,2,2018-03-09,04:45:00,2018,3,9,4,VIERNES,NOCHE,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,4,MOVIL-CARGAS,MOVIL,CARGAS,-58.41657793,-34.65476216,CONDUCTOR,MASCULINO,24,2018-03-09
313,2018-0026,2,2018-03-09,04:45:00,2018,3,9,4,VIERNES,NOCHE,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,4,MOVIL-CARGAS,MOVIL,CARGAS,-58.41657793,-34.65476216,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2018-03-09
314,2018-0027,1,2018-03-11,23:00:00,2018,3,11,23,DOMINGO,NOCHE,Castro y Rondeau,CALLE,5,PEATON-MOTO,PEATON,MOTO,-58.41911301,-34.63722107,PEATON,FEMENINO,74,2018-03-11
315,2018-0028,1,2018-03-13,15:45:00,2018,3,13,15,MARTES,DIA,"Bilbao, Francisco Av. y Azul",AVENIDA,9,PEATON-CARGAS,PEATON,CARGAS,-58.47120586,-34.64251042,PEATON,MASCULINO,71,2018-03-13
316,2018-0029,1,2018-03-15,18:00:00,2018,3,15,18,JUEVES,NOCHE,Nazca Av. y Gaona Av.,AVENIDA,11,MOTO-AUTO,MOTO,AUTO,-58.47418944,-34.62049672,CONDUCTOR,MASCULINO,26,2018-03-15
317,2018-0030,1,2018-03-20,01:30:00,2018,3,20,1,MARTES,NOCHE,Plaza y Alvarez Thomas Av.,AVENIDA,15,MOTO-MOTO,MOTO,MOTO,-58.46720441,-34.57905579,CONDUCTOR,MASCULINO,24,2018-03-20
